"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.157524613220816,0.216522318454364,0.128788713061714,0.314205318246301,1.17473272952425,143,"IMPA2;FKBP5;DCXR;RPS6KA2;TST;PLXNB1;RAB31;NBL1;EMP2;CD9;WFS1;CKB;JAK2;UGDH;CAV1;SGK1;IDH2;OPN3;ITPK1;SLC24A3;ALDH3B1;LAMC2;SLC26A2;ABHD2;ELOVL5;PRKAR2B;ZFP36;MICB;MYOF;SCUBE2;FLNB;PPIF;PAPSS2;METTL3;MAPK13;JAK1;SERPINA3;RBBP8;DLG5"
"HALLMARK_NOTCH_SIGNALING",0.164556962025316,0.216522318454364,0.173747838999571,-0.405003513014965,-1.24184581052555,29,"WNT2;NOTCH1;JAG1;LFNG;WNT5A;FZD7;DLL1"
"HALLMARK_PEROXISOME",0.163358778625954,0.216522318454364,0.132147260608774,0.3474163115264,1.21227511937669,87,"ACSL1;DHRS3;CTPS1;DHCR24;HSD17B11;CAT;SLC25A4;IDH2;MLYCD;VPS4B;SOD2;ELOVL5;ITGB1BP1;CDK7;HRAS;HSD17B4;ABCC5;CNBP;STS;ECH1;TSPO;NUDT19"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.163690476190476,0.216522318454364,0.190023305279108,-0.299598308683042,-1.15021493764225,91,"CDKN1A;PIK3R3;CDK4;SQSTM1;TRIB3;DDIT3;MAPK10;PLCB1;CAMK4;PTEN;NGF"
"HALLMARK_HEME_METABOLISM",0.177700348432056,0.223013493253373,0.197822021315103,-0.261606160146582,-1.10803422874362,164,"SLC6A9;AQP3;NR3C1;CLIC2;SLC7A11;ASNS;EPB41;DAAM1;TMCC2;SMOX;XPO7;SELENBP1;NFE2;P4HA2;ACP5;CLCN3;ERMAP;BPGM;TNRC6B;BTG2;BMP2K;SYNJ1;BCAM;TCEA1;TNS1;GYPC;TFDP2;SLC25A37;PRDX2;BTRC;SPTA1;UROD;NARF;BLVRB"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.178410794602699,0.223013493253373,0.124434168630393,0.329646947392783,1.18409794313736,105,"ATF3;PREB;NFYB;HERPUD1;KIF5B;WIPI1;SPCS3;RRP9;WFS1;EXOSC10;BAG3;EXOSC9;DNAJC3;LSM1;STC2;DDIT4;CEBPB;EDEM1;EIF4G1;NABP1;EIF2S1;TATDN2;DDX10;KDELR3;NOP56;NOP14"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.196666666666667,0.239837398373984,0.125033367555272,0.408964820941358,1.22049637866069,37,"FZD8;NKD1;MYC;SKP2;AXIN2;HDAC5;GNAI1;ADAM17;DKK1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.215088282504013,0.256057479171444,0.116234148779716,0.352391958852546,1.16433934543595,64,"ACVRL1;MAP3K8;STAT3;PTPN11;CD9;IL17RA;TNFRSF1B;OSMR;PLA2G2A;ITGA4;CSF1;LTBR;STAT1;ACVR1B;CBL;IFNGR1"
"HALLMARK_ALLOGRAFT_REJECTION",0.247706422018349,0.28803072327715,0.154190966581424,-0.272123719424012,-1.08928283514627,113,"LIF;BRCA1;SOCS1;TGFB2;IL12A;CCND2;HDAC9;CTSS;TLR3;CCL7;BCL3;HLA-A;ICOSLG;SOCS5;C2;CDKN2A;CCL11;CCR1;CCL2;EGFR;TIMP1;THY1;TGFB1;IL6;RIPK2;EIF4G3"
"HALLMARK_KRAS_SIGNALING_DN",0.302290076335878,0.343003101623791,0.0919686140000427,0.312819194158475,1.09116293889957,88,"ZBTB16;IGFBP2;PRODH;MFSD6;GDNF;IFI44L;SGK1;THRB;RGS11;FGF22;ITIH3;PTPRJ;CYP39A1;BMPR1B;THNSL2;MAST3"
"HALLMARK_TGF_BETA_SIGNALING",0.308702791461412,0.343003101623791,0.0949751525905595,0.342301791719578,1.09519416757514,51,"RAB31;TGIF1;HIPK2;THBS1;FURIN;TJP1;PPP1CA;SMAD7;FNTA;ID2;XIAP;SERPINE1;CDK9;RHOA;ID1;SPTBN1;PPM1A;CDKN1C;APC;UBE2D3;SMURF1"
"HALLMARK_GLYCOLYSIS",0.359504132231405,0.390765361121092,0.0768736734126542,0.275327119420392,1.05269076962385,167,"IRS2;CITED2;GLRX;GLCE;UGP2;SAP30;PYGB;GPC4;LDHA;CYB5A;STC1;PPP2CB;HS2ST1;HMMR;ANG;ARPP19;B3GAT3;MET;SDC2;STC2;DDIT4;PKP2;CTH;AGL;ANGPTL4;SLC35A3;ANKZF1;SRD5A3;PGM2;CHPF;HK2;PC;PHKA2;CHST12;PPIA;TALDO1;KDELR3;MDH2"
"HALLMARK_G2M_CHECKPOINT",0.529197080291971,0.562975617331884,0.11101149245045,-0.22933656953376,-0.980280875557772,184,"MARCKS;RPS6KA5;CDK4;MEIS2;TPX2;CBX1;SMAD3;EZH2;HMGA1;SMC4;MCM2;BCL3;TLE3;HMGB3;PRIM2;CDC25B;SLC7A5;CENPF;LMNB1;KIF11;TMPO;ATRX;HSPA8;HMGN2;NUMA1;ATF5;CTCF;TGFB1;LIG3;BRCA2;SMARCC1;KIF20B;TRAIP;MEIS1;NASP;PDS5B;CKS1B;RPA2;TOP2A;CENPE;SMC1A;MTF2;PLK4;DBF4;XPO1"
"HALLMARK_SPERMATOGENESIS",0.596816976127321,0.621684350132626,0.0847985102819124,-0.249901951866744,-0.945467068359489,75,"HSPA4L;CAMK4;PARP2;IFT88;EZH2;MLF1;MAST2;ZC2HC1C;CLGN;GSTM3;NPHP1"
"HALLMARK_DNA_REPAIR",0.627586206896552,0.640394088669951,0.096887770327544,-0.229742018176066,-0.945342083176345,142,"PCNA;XPC;LIG1;TYMS;RALA;TP53;POLH;NFX1;GPX4;SEC61A1;DDB2;BCAM;ADA;VPS37D;CETN2;USP11;CSTF3;IMPDH2;SDCBP;MPC2;RAD52;POLD1;RPA2;PRIM1;RFC2;NME4;SAC3D1;POLD3;SNAPC4;POLB;SRSF6"
"HALLMARK_PANCREAS_BETA_CELLS",0.672760511882998,0.672760511882998,0.0598603117764473,0.330085717209698,0.848177523648658,19,"FOXO1;NKX6-1;AKT3"
